LeagueName,Country,IsMajor,Priority,Confederation
Superliga,Albania,FALSE,,UEFA
1st Division,Albania,FALSE,,UEFA
Ligue 1,Algeria,FALSE,,CAF
Ligue 2,Algeria,FALSE,,CAF
1a Divisió,Andorra,FALSE,,UEFA
2a Divisió,Andorra,FALSE,,UEFA
1a Divisió,Andorra,FALSE,,UEFA
Girabola,Angola,FALSE,,CAF
Girabola,Angola,FALSE,,CAF
Primera Division,Argentina,TRUE,25,CONMEBOL
Primera B Nacional,Argentina,FALSE,,CONMEBOL
Copa Argentina,Argentina,FALSE,,CONMEBOL
Premier League,Armenia,FALSE,,UEFA
First League,Armenia,FALSE,,UEFA
First League,Armenia,FALSE,,UEFA
Premier League,Armenia,FALSE,,UEFA
A-League,Australia,TRUE,24,AFC
National Premier Leagues,Australia,FALSE,,AFC
W-League,Australia,FALSE,,AFC
Brisbane Premier League,Australia,FALSE,,AFC
New South Wales NPL,Australia,FALSE,,AFC
Northern Territory Premier League,Australia,FALSE,,AFC
South Australia NPL,Australia,FALSE,,AFC
Victoria NPL,Australia,FALSE,,AFC
Western Australia NPL,Australia,FALSE,,AFC
W-League,Australia,FALSE,,AFC
Tipp3 Bundesliga,Austria,TRUE,28,UEFA
Erste Liga,Austria,FALSE,,UEFA
Cup,Austria,FALSE,,UEFA
Birinci Dasta,Azerbaidjan,FALSE,,UEFA
Premyer Liqa,Azerbaidjan,FALSE,,UEFA
Cup,Azerbaidjan,FALSE,,UEFA
Birinci Dasta,Azerbaidjan,FALSE,,UEFA
Premier League,Bahrain,FALSE,,AFC
Premier League,Bahrain,FALSE,,AFC
Premier League,Bangladesh,FALSE,,AFC
Premier League,Bangladesh,FALSE,,AFC
Vyscha Liga,Belarus,FALSE,,UEFA
1. Division,Belarus,FALSE,,UEFA
Jupiler Pro League,Belgium,TRUE,23,UEFA
2e Klasse,Belgium,FALSE,,UEFA
Super League Women,Belgium,FALSE,,UEFA
Cup,Belgium,FALSE,,UEFA
Super League Women,Belgium,FALSE,,UEFA
Premier League,Belize,FALSE,,CONCACAF
Premier League,Belize,FALSE,,CONCACAF
Championnat National,Benin,FALSE,,CAF
Premier League,Bermuda,FALSE,,CONCACAF
Super League,Bhutan,FALSE,,AFC
Primera División,Bolivia,FALSE,,CONMEBOL
Primera División,Bolivia,FALSE,,CONMEBOL
Cup,Bosnia,FALSE,,UEFA
Premijer Liga,Bosnia,FALSE,,UEFA
Premier League,Botswana,FALSE,,CAF
Premier League,Botswana,FALSE,,CAF
Serie A,Brazil,TRUE,26,CONMEBOL
Serie B,Brazil,FALSE,,CONMEBOL
Copa Do Brasil,Brazil,FALSE,,CONMEBOL
Brasileiro Women,Brazil,FALSE,,CONMEBOL
Brasileiro Women,Brazil,FALSE,,CONMEBOL
A PFG,Bulgaria,FALSE,,UEFA
B PFG,Bulgaria,FALSE,,UEFA
Cup,Bulgaria,FALSE,,UEFA
C-League,Cambodia,FALSE,,CAF
Elite ONE,Cameroon,FALSE,,CAF
Elite ONE,Cameroon,FALSE,,CAF
Canadian Soccer League,Canada,FALSE,,CONCACAF
Canadian Championship,Canada,FALSE,,CONCACAF
Pacific Coast Soccer League,Canada,FALSE,,CONCACAF
Primera Division,Chile,TRUE,27,CONMEBOL
Primera B,Chile,FALSE,,CONMEBOL
Copa Chile,Chile,FALSE,,CONMEBOL
Super League,China,FALSE,,AFC
League One,China,FALSE,,AFC
FA Cup,China,FALSE,,AFC
Primera A,Colombia,FALSE,,CONMEBOL
Primera B,Colombia,FALSE,,CONMEBOL
Copa Colombia,Colombia,FALSE,,CONMEBOL
Primera Division,Costa-Rica,FALSE,,CONCACAF
